,label time,predicted time,,,±ê×¼²î.
0,37.5,10.953949,26.546051,,23.26650815
1,5.5833335,6.1101084,-0.5267749,,
2,23.816668,24.19461,-0.377942,,
3,31.133333,82.89804,-51.764707,,
4,18.983334,47.892372,-28.909038,,
5,13.733334,22.931137,-9.197803,,
6,21.25,9.944366,11.305634,,
7,7.65,24.95163,-17.30163,,
8,38.383335,53.00286,-14.619525,,
9,10.316667,6.4898796,3.8267874,,
10,17.85,50.862587,-33.012587,,
11,15.766666,23.540306,-7.77364,,
12,7.5833335,15.44511,-7.8617765,,
13,16.25,9.94928,6.30072,,
14,11.15,34.12153,-22.97153,,
15,34.666668,2,32.666668,,
16,30.033333,29.85851,0.174823,,
17,9.95,2,7.95,,
18,12.116667,30.019085,-17.902418,,
19,21.016666,20.101818,0.914848,,
20,6.383333,30.487495,-24.104162,,
21,10.083333,97.15913,-87.075797,,
22,26.483334,55.575623,-29.092289,,
23,3.6,23.259336,-19.659336,,
24,10.983334,4.1324654,6.8508686,,
25,33.583332,3.5037308,30.0796012,,
26,48.766666,23.95194,24.814726,,
27,6.3,40.437435,-34.137435,,
28,28.533333,30.903717,-2.370384,,
29,17.166666,28.818478,-11.651812,,
30,15.983334,24.886803,-8.903469,,
31,7.366667,51.95595,-44.589283,,
32,41.933334,36.403694,5.52964,,
33,23.983334,12.882202,11.101132,,
34,34.333332,58.9552,-24.621868,,
35,10.1,9.856834,0.243166,,
36,9.183333,81.72873,-72.545397,,
37,5.2166667,44.16267,-38.9460033,,
38,17.716667,59.50619,-41.789523,,
39,17.4,21.11557,-3.71557,,
40,32.2,34.548157,-2.348157,,
41,13.383333,20.081753,-6.69842,,
42,2.9,12.428257,-9.528257,,
43,7.116667,18.469458,-11.352791,,
44,19.783333,12.227417,7.555916,,
45,25.216667,18.7631,6.453567,,
46,22.983334,43.01803,-20.034696,,
47,57.85,55.037086,2.812914,,
48,23.8,44.22758,-20.42758,,
49,72.38333,62.79216,9.59117,,
50,32.433334,14.648857,17.784477,,
51,5.6,31.220497,-25.620497,,
52,7.7,32.211502,-24.511502,,
53,4,48.79992,-44.79992,,
54,18.05,49.917366,-31.867366,,
55,56.566666,64.17064,-7.603974,,
56,13.3,8.368481,4.931519,,
57,21.733334,2,19.733334,,
58,6,2,4,,
59,9.016666,27.91332,-18.896654,,
60,6.883333,26.230011,-19.346678,,
61,9.783334,16.50338,-6.720046,,
62,4.2,13.717586,-9.517586,,
63,7.2833333,52.71827,-45.4349367,,
64,29.283333,6.117424,23.165909,,
65,4.266667,2,2.266667,,
66,17.2,65.68053,-48.48053,,
67,55.016666,8.628105,46.388561,,
68,19.533333,35.444,-15.910667,,
69,68.36667,21.050888,47.315782,,
70,62.8,50.693726,12.106274,,
71,5.4333334,22.195847,-16.7625136,,
72,8.8,16.507835,-7.707835,,
73,15.383333,2,13.383333,,
74,30.133333,31.0949,-0.961567,,
75,20.616667,30.214874,-9.598207,,
76,23.3,13.771019,9.528981,,
77,22.116667,25.186714,-3.070047,,
78,39.233334,90.58832,-51.354986,,
79,29.933332,17.47702,12.456312,,
80,48.1,24.531864,23.568136,,
81,14.2,9.4617,4.7383,,
82,10.933333,57.246212,-46.312879,,
83,22.35,23.492111,-1.142111,,
84,12.4,49.843613,-37.443613,,
85,10.983334,2,8.983334,,
86,11.666667,34.55849,-22.891823,,
87,30.8,51.902725,-21.102725,,
88,5.8166666,60.994087,-55.1774204,,
89,4.1833334,2,2.1833334,,
90,19.766666,16.842247,2.924419,,
91,21.233334,36.70542,-15.472086,,
92,9.116667,31.64915,-22.532483,,
93,17.2,3.3902855,13.8097145,,
94,7.15,43.155,-36.005,,
95,11.916667,27.926167,-16.0095,,
96,14,2,12,,
97,7.5833335,9.285298,-1.7019645,,
98,20.2,19.539265,0.660735,,
99,3.8,34.268154,-30.468154,,
100,12.45,24.701036,-12.251036,,
101,10.45,66.93587,-56.48587,,
102,8.316667,19.197395,-10.880728,,
103,17.016666,6.2276,10.789066,,
104,14.666667,34.775917,-20.10925,,
105,5.516667,2,3.516667,,
106,6.983333,21.976269,-14.992936,,
107,15.4,26.096485,-10.696485,,
108,36.183334,33.907265,2.276069,,
109,15.333333,34.105545,-18.772212,,
110,39.433334,17.876335,21.556999,,
111,20.166666,34.775345,-14.608679,,
112,7.983333,34.04236,-26.059027,,
113,30.433332,25.372597,5.060735,,
114,13.883333,25.33023,-11.446897,,
115,4.6833334,23.123777,-18.4404436,,
116,11.433333,39.101357,-27.668024,,
117,9.7,27.44329,-17.74329,,
118,4.15,40.501915,-36.351915,,
119,15.966666,47.710014,-31.743348,,
120,24.466667,2.1839561,22.2827109,,
121,23.633333,2.6420116,20.9913214,,
122,3.4,32.011642,-28.611642,,
123,8.6,64.30271,-55.70271,,
124,18.133333,14.476921,3.656412,,
125,12.3,63.106045,-50.806045,,
126,62.766666,2,60.766666,,
127,32.966667,68.739,-35.772333,,
128,4.2,19.026127,-14.826127,,
129,33.033333,2,31.033333,,
130,7.866667,69.20994,-61.343273,,
131,13.533334,19.624107,-6.090773,,
132,5.116667,12.424901,-7.308234,,
133,4.6666665,18.781075,-14.1144085,,
134,33.383335,15.094666,18.288669,,
135,10.7,32.482727,-21.782727,,
136,12.65,16.534847,-3.884847,,
137,14.333333,2,12.333333,,
138,8.783334,52.399353,-43.616019,,
139,9.95,32.59003,-22.64003,,
140,22.95,4.2502136,18.6997864,,
141,24,40.64491,-16.64491,,
142,8,38.575207,-30.575207,,
143,13.2,6.580471,6.619529,,
144,7.983333,17.182407,-9.199074,,
145,9.483334,3.423418,6.059916,,
146,7.983333,72.571846,-64.588513,,
147,34.383335,66.309814,-31.926479,,
148,17,45.862976,-28.862976,,
149,6.5833335,14.519394,-7.9360605,,
150,44.583332,94.03035,-49.447018,,
151,13.033334,27.894093,-14.860759,,
152,13.616667,2,11.616667,,
153,26.516666,31.572533,-5.055867,,
154,12.566667,29.920052,-17.353385,,
155,51.6,2,49.6,,
156,11.383333,23.388832,-12.005499,,
157,41.35,13.779633,27.570367,,
158,9.55,47.82538,-38.27538,,
159,6.7,20.531742,-13.831742,,
160,91.51667,29.538803,61.977867,,
161,10.983334,13.251448,-2.268114,,
162,10.283334,58.87745,-48.594116,,
163,26.333334,28.183819,-1.850485,,
164,12.6,33.040504,-20.440504,,
165,19.166666,5.833061,13.333605,,
166,40.716667,30.692566,10.024101,,
167,7.983333,6.670473,1.31286,,
168,15.016666,2.6644707,12.3521953,,
169,20.166666,15.189568,4.977098,,
170,27.233334,29.949059,-2.715725,,
171,13.4,9.635072,3.764928,,
172,64.833336,22.727959,42.105377,,
173,15.75,73.52931,-57.77931,,
174,3.9833333,74.59496,-70.6116267,,
175,20.333334,3.2813225,17.0520115,,
176,32.75,7.1707764,25.5792236,,
177,5,2,3,,
178,21.6,41.832153,-20.232153,,
179,12,9.791321,2.208679,,
180,6.4,19.559385,-13.159385,,
181,58.916668,42.782883,16.133785,,
182,7.45,42.116917,-34.666917,,
183,28.5,2,26.5,,
184,10,21.185383,-11.185383,,
185,3.4166667,2,1.4166667,,
186,18.6,29.177307,-10.577307,,
187,13.266666,54.70922,-41.442554,,
188,32,50.246307,-18.246307,,
189,11.916667,24.444336,-12.527669,,
190,21.883333,15.027815,6.855518,,
191,5.883333,30.613815,-24.730482,,
192,26.883333,47.419754,-20.536421,,
193,39.783333,2,37.783333,,
194,9.883333,38.028954,-28.145621,,
195,8.8,30.525627,-21.725627,,
196,3.7833333,28.905075,-25.1217417,,
197,14.5,40.691376,-26.191376,,
198,5.95,18.187082,-12.237082,,
199,4.2166667,53.043106,-48.8264393,,
200,12.533334,19.678043,-7.144709,,
201,12.983334,13.48271,-0.499376,,
202,16.283333,36.234524,-19.951191,,
