,label time,predicted time,
0,37.5,52.347977,14.847977
1,5.5833335,5.7260942,0.1427607
2,23.816668,33.363655,9.546987
3,31.133333,53.02835,21.895017
4,18.983334,39.045208,20.061874
5,13.733334,17.64471,3.911376
6,21.25,15.127796,6.122204
7,7.65,21.30004,13.65004
8,38.383335,61.53564,23.152305
9,10.316667,19.255112,8.938445
10,17.85,30.994186,13.144186
11,15.766666,38.143433,22.376767
12,7.5833335,18.262169,10.6788355
13,16.25,22.137707,5.887707
14,11.15,7.6897035,3.4602965
15,34.666668,62.063755,27.397087
16,30.033333,39.807625,9.774292
17,9.95,8.128551,1.821449
18,12.116667,20.34729,8.230623
19,21.016666,18.325386,2.69128
20,6.383333,12.357181,5.973848
21,10.083333,17.730114,7.646781
22,26.483334,45.10324,18.619906
23,3.6,2,1.6
24,10.983334,5.331075,5.652259
25,33.583332,37.591637,4.008305
26,48.766666,20.011875,28.754791
27,6.3,40.76769,34.46769
28,28.533333,127.705925,99.172592
29,17.166666,23.329023,6.162357
30,15.983334,9.727564,6.25577
31,7.366667,29.51947,22.152803
32,41.933334,31.408476,10.524858
33,23.983334,40.445877,16.462543
34,34.333332,91.55348,57.220148
35,10.1,49.937927,39.837927
36,9.183333,2,7.183333
37,5.2166667,10.51358,5.2969133
38,17.716667,138.0875,120.370833
39,17.4,17.321472,0.078528
40,32.2,68.38489,36.18489
41,13.383333,66.88596,53.502627
42,2.9,7.589179,4.689179
43,7.116667,12.349852,5.233185
44,19.783333,23.149765,3.366432
45,25.216667,31.054157,5.83749
46,22.983334,21.318466,1.664868
47,57.85,91.693436,33.843436
48,23.8,11.960133,11.839867
49,72.38333,61.768585,10.614745
50,32.433334,123.383064,90.94973
51,5.6,22.250992,16.650992
52,7.7,18.9338,11.2338
53,4,2,2
54,18.05,25.202469,7.152469
55,56.566666,42.996933,13.569733
56,13.3,6.272075,7.027925
57,21.733334,35.272865,13.539531
58,6,20.767906,14.767906
59,9.016666,20.463482,11.446816
60,6.883333,35.963852,29.080519
61,9.783334,12.461491,2.678157
62,4.2,2.8240378,1.3759622
63,7.2833333,25.485346,18.2020127
64,29.283333,70.28168,40.998347
65,4.266667,3.737331,0.529336
66,17.2,33.860863,16.660863
67,55.016666,50.93268,4.083986
