,label,predicted,,,±ê×¼²î
0,37.5,2,35.5,,39.91738963
1,5.5833335,4.82495,0.7583835,,
2,23.816668,17.057377,6.759291,,
3,31.133333,69.36957,-38.236237,,
4,18.983334,57.41812,-38.434786,,
5,13.733334,20.052967,-6.319633,,
6,21.25,15.8429985,5.4070015,,
7,7.65,22.493347,-14.843347,,
8,38.383335,32.75187,5.631465,,
9,10.316667,3.5169754,6.7996916,,
10,17.85,35.08833,-17.23833,,
11,15.766666,5.182419,10.584247,,
12,7.5833335,29.547474,-21.9641405,,
13,16.25,2.1155243,14.1344757,,
14,11.15,30.995888,-19.845888,,
15,34.666668,10.174778,24.49189,,
16,30.033333,35.56693,-5.533597,,
17,9.95,14.93959,-4.98959,,
18,12.116667,17.846527,-5.72986,,
19,21.016666,2,19.016666,,
20,6.383333,32.97478,-26.591447,,
21,10.083333,106.153175,-96.069842,,
22,26.483334,34.013863,-7.530529,,
23,3.6,23.193916,-19.593916,,
24,10.983334,11.595941,-0.612607,,
25,33.583332,2,31.583332,,
26,48.766666,21.564531,27.202135,,
27,6.3,57.606747,-51.306747,,
28,28.533333,73.923225,-45.389892,,
29,17.166666,9.272514,7.894152,,
30,15.983334,17.352463,-1.369129,,
31,7.366667,63.385277,-56.01861,,
32,41.933334,38.15587,3.777464,,
33,23.983334,23.472622,0.510712,,
34,34.333332,2,32.333332,,
35,10.1,10.823338,-0.723338,,
36,9.183333,81.763275,-72.579942,,
37,5.2166667,43.793564,-38.5768973,,
38,17.716667,461.57825,-443.861583,,
39,17.4,26.278309,-8.878309,,
40,32.2,24.873383,7.326617,,
41,13.383333,5.7013893,7.6819437,,
42,2.9,10.628771,-7.728771,,
43,7.116667,18.126518,-11.009851,,
44,19.783333,12.423573,7.35976,,
45,25.216667,24.625084,0.591583,,
46,22.983334,41.39907,-18.415736,,
47,57.85,71.854416,-14.004416,,
48,23.8,47.033104,-23.233104,,
49,72.38333,85.74034,-13.35701,,
50,32.433334,12.771362,19.661972,,
51,5.6,27.535046,-21.935046,,
52,7.7,45.34741,-37.64741,,
53,4,48.373573,-44.373573,,
54,18.05,39.531662,-21.481662,,
55,56.566666,140.99115,-84.424484,,
56,13.3,18.015177,-4.715177,,
57,21.733334,7.219589,14.513745,,
58,6,2,4,,
59,9.016666,23.397652,-14.380986,,
60,6.883333,23.891808,-17.008475,,
61,9.783334,14.767363,-4.984029,,
62,4.2,15.544981,-11.344981,,
63,7.2833333,50.666534,-43.3832007,,
64,29.283333,2,27.283333,,
65,4.266667,3.316082,0.950585,,
66,17.2,92.16969,-74.96969,,
67,55.016666,2,53.016666,,
68,19.533333,42.505985,-22.972652,,
69,68.36667,2,66.36667,,
70,62.8,47.975082,14.824918,,
71,5.4333334,27.51672,-22.0833866,,
72,8.8,20.661436,-11.861436,,
73,15.383333,17.388916,-2.005583,,
74,30.133333,53.71586,-23.582527,,
75,20.616667,19.03025,1.586417,,
76,23.3,2.3241425,20.9758575,,
77,22.116667,38.02961,-15.912943,,
78,39.233334,109.38747,-70.154136,,
79,29.933332,4.5407257,25.3926063,,
80,48.1,12.326111,35.773889,,
81,14.2,22.206688,-8.006688,,
82,10.933333,56.54073,-45.607397,,
83,22.35,2,20.35,,
84,12.4,48.41111,-36.01111,,
85,10.983334,4.8160152,6.1673188,,
86,11.666667,24.401402,-12.734735,,
87,30.8,33.767365,-2.967365,,
88,5.8166666,62.034576,-56.2179094,,
89,4.1833334,2.786109,1.3972244,,
90,19.766666,4.556469,15.210197,,
91,21.233334,50.142773,-28.909439,,
92,9.116667,34.57556,-25.458893,,
93,17.2,2.4847221,14.7152779,,
94,7.15,38.93841,-31.78841,,
95,11.916667,27.794937,-15.87827,,
96,14,2,12,,
97,7.5833335,3.6371841,3.9461494,,
98,20.2,34.393673,-14.193673,,
99,3.8,72.633865,-68.833865,,
100,12.45,24.315155,-11.865155,,
101,10.45,49.119774,-38.669774,,
102,8.316667,24.651775,-16.335108,,
103,17.016666,2,15.016666,,
104,14.666667,30.438938,-15.772271,,
105,5.516667,2,3.516667,,
106,6.983333,34.292866,-27.309533,,
107,15.4,25.52826,-10.12826,,
108,36.183334,76.2483,-40.064966,,
109,15.333333,23.815838,-8.482505,,
110,39.433334,2,37.433334,,
111,20.166666,36.241386,-16.07472,,
112,7.983333,28.071444,-20.088111,,
113,30.433332,7.849144,22.584188,,
114,13.883333,47.657867,-33.774534,,
115,4.6833334,56.8705,-52.1871666,,
116,11.433333,39.13463,-27.701297,,
117,9.7,25.555325,-15.855325,,
118,4.15,539.96844,-535.81844,,
119,15.966666,31.324135,-15.357469,,
120,24.466667,2,22.466667,,
121,23.633333,17.233341,6.399992,,
122,3.4,35.07908,-31.67908,,
123,8.6,62.120415,-53.520415,,
124,18.133333,20.599125,-2.465792,,
125,12.3,55.98583,-43.68583,,
126,62.766666,2,60.766666,,
127,32.966667,70.4628,-37.496133,,
128,4.2,18.875088,-14.675088,,
129,33.033333,12.712982,20.320351,,
130,7.866667,68.66835,-60.801683,,
131,13.533334,13.84428,-0.310946,,
132,5.116667,20.11614,-14.999473,,
133,4.6666665,24.939669,-20.2730025,,
134,33.383335,2,31.383335,,
135,10.7,30.697962,-19.997962,,
136,12.65,9.057362,3.592638,,
137,14.333333,2,12.333333,,
138,8.783334,43.8132,-35.029866,,
139,9.95,46.381733,-36.431733,,
140,22.95,2,20.95,,
141,24,43.25564,-19.25564,,
142,8,31.679363,-23.679363,,
143,13.2,2,11.2,,
144,7.983333,15.677101,-7.693768,,
145,9.483334,2.2549334,7.2284006,,
146,7.983333,81.984436,-74.001103,,
147,34.383335,72.43862,-38.055285,,
148,17,45.292603,-28.292603,,
149,6.5833335,13.093529,-6.5101955,,
150,44.583332,82.33105,-37.747718,,
151,13.033334,35.442665,-22.409331,,
152,13.616667,2,11.616667,,
153,26.516666,28.745583,-2.228917,,
154,12.566667,26.546883,-13.980216,,
155,51.6,2,49.6,,
156,11.383333,27.340082,-15.956749,,
157,41.35,2,39.35,,
158,9.55,38.284676,-28.734676,,
159,6.7,14.093735,-7.393735,,
160,91.51667,2,89.51667,,
161,10.983334,8.295755,2.687579,,
162,10.283334,70.08037,-59.797036,,
163,26.333334,28.07177,-1.738436,,
164,12.6,32.978973,-20.378973,,
165,19.166666,2,17.166666,,
166,40.716667,16.895294,23.821373,,
167,7.983333,16.062433,-8.0791,,
168,15.016666,11.167816,3.84885,,
169,20.166666,16.526695,3.639971,,
170,27.233334,27.67949,-0.446156,,
171,13.4,12.845381,0.554619,,
172,64.833336,25.210411,39.622925,,
173,15.75,70.39185,-54.64185,,
174,3.9833333,75.69186,-71.7085267,,
175,20.333334,2,18.333334,,
176,32.75,2,30.75,,
177,5,2,3,,
178,21.6,37.792084,-16.192084,,
179,12,8.110527,3.889473,,
180,6.4,22.679966,-16.279966,,
181,58.916668,20.435143,38.481525,,
182,7.45,43.721603,-36.271603,,
183,28.5,2,26.5,,
184,10,34.24181,-24.24181,,
185,3.4166667,4.0434856,-0.6268189,,
186,18.6,24.684643,-6.084643,,
187,13.266666,53.870316,-40.60365,,
188,32,39.47902,-7.47902,,
189,11.916667,17.326305,-5.409638,,
190,21.883333,14.788502,7.094831,,
191,5.883333,23.868553,-17.98522,,
192,26.883333,43.479218,-16.595885,,
193,39.783333,2,37.783333,,
194,9.883333,41.75468,-31.871347,,
195,8.8,36.456623,-27.656623,,
196,3.7833333,26.05814,-22.2748067,,
197,14.5,69.40289,-54.90289,,
198,5.95,11.33131,-5.38131,,
199,4.2166667,51.56378,-47.3471133,,
200,12.533334,29.122932,-16.589598,,
201,12.983334,27.579266,-14.595932,,
202,16.283333,43.214077,-26.930744,,
203,9.7,10.858234,-1.158234,,
204,14.533334,9.946312,4.587022,,
205,9.366667,43.28353,-33.916863,,
206,30.933332,11.37738,19.555952,,
207,27.116667,73.68982,-46.573153,,
208,69.166664,169.4359,-100.269236,,
209,40.533333,33.192715,7.340618,,
210,6.4,36.991905,-30.591905,,
211,8.983334,14.497276,-5.513942,,
212,8.383333,29.50918,-21.125847,,
213,13.25,19.123554,-5.873554,,
214,6.6,20.264833,-13.664833,,
215,11,31.327963,-20.327963,,
216,30.166666,37.590855,-7.424189,,
217,23.783333,32.2874,-8.504067,,
218,11.183333,34.187042,-23.003709,,
219,10.8,20.08196,-9.28196,,
220,4.4666667,23.256218,-18.7895513,,
221,15.45,30.367928,-14.917928,,
222,10.683333,45.149826,-34.466493,,
223,8.983334,7.8700695,1.1132645,,
224,12.8,31.567236,-18.767236,,
225,9.5,2.7478542,6.7521458,,
226,27.566668,12.719585,14.847083,,
227,27.15,2,25.15,,
228,11.016666,2,9.016666,,
229,16,8.1442795,7.8557205,,
230,7.9166665,23.825457,-15.9087905,,
231,7.1,21.455816,-14.355816,,
232,6.0666666,32.552776,-26.4861094,,
233,29.75,66.94391,-37.19391,,
234,5.6,24.692677,-19.092677,,
235,28.6,18.298492,10.301508,,
236,8.8,11.390015,-2.590015,,
237,21.616667,10.802204,10.814463,,
238,7.133333,34.684357,-27.551024,,
239,30.8,27.05106,3.74894,,
240,20.333334,2,18.333334,,
241,46.3,74.7281,-28.4281,,
242,11.783334,35.72008,-23.936746,,
243,30.9,2,28.9,,
244,13.4,52.41088,-39.01088,,
245,17.6,34.792854,-17.192854,,
246,6.9166665,35.472237,-28.5555705,,
247,17.583334,2,15.583334,,
248,14.583333,24.87212,-10.288787,,
249,8.566667,14.7596855,-6.1930185,,
250,16.483334,22.97778,-6.494446,,
251,7.516667,2,5.516667,,
252,19.85,33.73994,-13.88994,,
253,6.5833335,25.608368,-19.0250345,,
254,13.9,33.395878,-19.495878,,
255,7.516667,15.146084,-7.629417,,
256,12,3.656643,8.343357,,
257,16.683332,16.240547,0.442785,,
258,8.266666,6.174217,2.092449,,
259,25.633333,41.296604,-15.663271,,
260,33.533333,30.737694,2.795639,,
261,11.583333,23.316082,-11.732749,,
262,6.0666666,21.475882,-15.4092154,,
263,16.5,47.086906,-30.586906,,
264,44.7,43.77533,0.92467,,
265,27.6,2,25.6,,
266,16.083334,29.522156,-13.438822,,
267,71,78.8459,-7.8459,,
268,46.866665,2,44.866665,,
269,19.483334,7.782379,11.700955,,
270,5.6,21.411041,-15.811041,,
271,35.566666,83.64548,-48.078814,,
272,18.816668,54.953583,-36.136915,,
273,18.066668,16.957481,1.109187,,
274,30.116667,2,28.116667,,
275,26.016666,25.887554,0.129112,,
276,23.25,4.6606903,18.5893097,,
277,17.733334,57.21861,-39.485276,,
278,14.466666,7.68869,6.777976,,
279,14.75,26.11847,-11.36847,,
280,9.166667,10.024391,-0.857724,,
281,20.716667,2.3080883,18.4085787,,
282,9.533334,25.29832,-15.764986,,
283,33.183334,24.852509,8.330825,,
284,14.933333,39.386677,-24.453344,,
285,13.183333,23.158836,-9.975503,,
286,32.866665,37.257828,-4.391163,,
287,6.8333335,4.6373405,2.195993,,
288,11.15,2,9.15,,
289,22.55,15.90279,6.64721,,
290,10.75,26.780476,-16.030476,,
291,21.4,32.773705,-11.373705,,
292,17.2,29.263084,-12.063084,,
293,14.516666,33.950363,-19.433697,,
294,22.516666,21.539192,0.977474,,
295,5,3.5588865,1.4411135,,
