real time,predict,residuals,|residual|,,,,
37.5,34.299942,3.200058,3.200058,12.35264298,9.658481358,,4
5.5833335,4.8885403,0.6947932,0.6947932,,,,
23.816668,27.058416,-3.241748,3.241748,,,,
31.133333,62.185394,-31.052061,31.052061,,,,
18.983334,36.71772,-17.734386,17.734386,,,,
13.733334,14.1680565,-0.4347225,0.4347225,,,,
21.25,14.573574,6.676426,6.676426,,,,
7.65,17.467955,-9.817955,9.817955,,,,
38.383335,52.364853,-13.981518,13.981518,,,,
10.316667,18.85283,-8.536163,8.536163,,,,
17.85,19.778084,-1.928084,1.928084,,,,
15.766666,38.01439,-22.247724,22.247724,,,,
7.5833335,13.32325,-5.7399165,5.7399165,,,,
16.25,15.180796,1.069204,1.069204,,,,
11.15,8.817064,2.332936,2.332936,,,,
34.666668,35.39337,-0.726702,0.726702,,,,
30.033333,31.325613,-1.29228,1.29228,,,,
9.95,3.877488,6.072512,6.072512,,,,
12.116667,17.99414,-5.877473,5.877473,,,,
21.016666,26.80735,-5.790684,5.790684,,,,
6.383333,13.529888,-7.146555,7.146555,,,,
10.083333,11.810778,-1.727445,1.727445,,,,
26.483334,33.075504,-6.59217,6.59217,,,,
3.6,4.466484,-0.866484,0.866484,,,,
10.983334,5.3330326,5.6503014,5.6503014,,,,
33.583332,24.682407,8.900925,8.900925,,,,
48.766666,15.108989,33.657677,33.657677,,,,
6.3,26.709955,-20.409955,20.409955,,,,
28.533333,65.40419,-36.870857,36.870857,,,,
17.166666,25.628645,-8.461979,8.461979,,,,
15.983334,15.611168,0.372166,0.372166,,,,
7.366667,23.505436,-16.138769,16.138769,,,,
41.933334,32.453518,9.479816,9.479816,,,,
23.983334,37.906834,-13.9235,13.9235,,,,
34.333332,54.651703,-20.318371,20.318371,,,,
10.1,28.186375,-18.086375,18.086375,,,,
9.183333,15.041986,-5.858653,5.858653,,,,
5.2166667,11.573649,-6.3569823,6.3569823,,,,
17.716667,44.899128,-27.182461,27.182461,,,,
17.4,17.113964,0.286036,0.286036,,,,
32.2,45.871346,-13.671346,13.671346,,,,
13.383333,29.593712,-16.210379,16.210379,,,,
2.9,17.62436,-14.72436,14.72436,,,,
7.116667,11.692186,-4.575519,4.575519,,,,
19.783333,23.093517,-3.310184,3.310184,,,,
25.216667,30.458488,-5.241821,5.241821,,,,
22.983334,20.962349,2.020985,2.020985,,,,
57.85,81.74989,-23.89989,23.89989,,,,
23.8,12.984749,10.815251,10.815251,,,,
72.38333,47.00139,25.38194,25.38194,,,,
32.433334,29.46305,2.970284,2.970284,,,,
5.6,18.830532,-13.230532,13.230532,,,,
7.7,19.611845,-11.911845,11.911845,,,,
4,6.245718,-2.245718,2.245718,,,,
