id,traj_id,time,entity_id,holidays,from,to,speed_src,speed_dst,holidays_dst,timd,eta,formatted_eta
126,9,2013-10-08T22:30:00Z,254,0,"[116.490013, 39.892902]","[116.511292, 39.904655]",37.2925,24.65,0.0,0 days 00:06:20.633726,2013-10-08 22:36:20.633726+00:00,2013-10-08 22:36:20
147,11,2013-10-08T23:00:00Z,254,0,"[116.450546, 39.943771]","[116.440742, 40.018944]",36.0575,49.89999999999999,0.0,0 days 00:06:39.234295,2013-10-08 23:06:39.234295+00:00,2013-10-08 23:06:39
171,13,2013-10-08T17:15:00Z,255,0,"[116.335503, 39.763187]","[116.34182, 39.771339]",26.625,64.5,0.0,0 days 00:00:00,2013-10-08 17:15:00+00:00,2013-10-08 17:15:00
207,16,2013-10-08T19:00:00Z,255,0,"[116.479919, 39.801834]","[116.493935, 39.789604]",22.76,14.07,0.0,0 days 00:11:43.504772,2013-10-08 19:11:43.504772+00:00,2013-10-08 19:11:43
337,24,2013-10-08T08:00:00Z,256,0,"[116.229218, 39.900791]","[116.314941, 39.897045]",26.285,31.0475,0.0,0 days 00:19:18.325882,2013-10-08 08:19:18.325882+00:00,2013-10-08 08:19:18
355,25,2013-10-08T08:30:00Z,256,0,"[116.324127, 39.897049]","[116.410393, 39.899246]",21.6075,30.285,0.0,0 days 00:13:34.175549,2013-10-08 08:43:34.175549+00:00,2013-10-08 08:43:34
547,40,2013-10-08T08:30:00Z,257,0,"[116.408173, 39.79324]","[116.470497, 39.911777]",26.402500000000003,29.395,0.0,0 days 00:20:34.008407,2013-10-08 08:50:34.008407+00:00,2013-10-08 08:50:34
1040,53,2013-10-08T18:30:00Z,257,0,"[116.360901, 39.878113]","[116.284477, 39.957474]",23.43,19.965,0.0,0 days 00:26:59.665261,2013-10-08 18:56:59.665261+00:00,2013-10-08 18:56:59
1103,55,2013-10-08T19:45:00Z,257,0,"[116.268333, 39.883675]","[116.266289, 39.856838]",18.4225,24.9025,0.0,0 days 00:24:52.580795,2013-10-08 20:09:52.580795+00:00,2013-10-08 20:09:52
1191,60,2013-10-08T06:15:00Z,258,0,"[116.467606, 39.876831]","[116.378616, 39.859783]",26.6325,19.155,0.0,0 days 00:24:57.547989,2013-10-08 06:39:57.547989+00:00,2013-10-08 06:39:57
1439,67,2013-10-08T06:00:00Z,4118,0,"[116.351501, 39.939926]","[116.541328, 40.024174]",45.81999999999999,86.58000000000001,0.0,0 days 00:20:40.180321,2013-10-08 06:20:40.180321+00:00,2013-10-08 06:20:40
1656,77,2013-10-08T13:45:00Z,4118,0,"[116.369614, 39.985012]","[116.332123, 39.992634]",27.590000000000003,18.8675,0.0,0 days 00:13:35.838089,2013-10-08 13:58:35.838089+00:00,2013-10-08 13:58:35
