id,time,entity_id,traj_id,coordinates,current_dis,speeds,holidays
355,2013-10-08T08:30:00Z,256,25,"[116.324127,39.897049]",0.0,21.6075,0
356,2013-10-08T08:30:55Z,256,25,"[116.327652,39.897018]",0.3007510004845093,21.15,0
357,2013-10-08T08:32:44Z,256,25,"[116.330978,39.897041]",0.5845212975718889,20.4825,0
358,2013-10-08T08:34:32Z,256,25,"[116.336624,39.897305]",1.0671227092377018,20.6575,0
359,2013-10-08T08:35:25Z,256,25,"[116.341118,39.897537]",1.451387903061279,24.07,0
360,2013-10-08T08:36:20Z,256,25,"[116.345924,39.89782]",1.862608250332156,20.655,0
361,2013-10-08T08:37:11Z,256,25,"[116.352654,39.897881]",2.4368035361375995,18.119999999999997,0
362,2013-10-08T08:40:28Z,256,25,"[116.355743,39.898369]",2.7075661944689826,20.5475,0
363,2013-10-08T08:44:05Z,256,25,"[116.358871,39.899197]",2.9932561000026805,22.76,0
364,2013-10-08T08:45:53Z,256,25,"[116.361748,39.899303]",3.238989463732897,27.725,0
365,2013-10-08T08:46:47Z,256,25,"[116.364128,39.899414]",3.4424043351342504,19.65,0
366,2013-10-08T08:48:37Z,256,25,"[116.374619,39.899754]",4.338201817197501,19.055,0
367,2013-10-08T08:49:31Z,256,25,"[116.380623,39.899956]",4.850897268333604,34.77,0
368,2013-10-08T08:51:18Z,256,25,"[116.387314,39.900158]",5.422168567569861,40.9575,0
369,2013-10-08T08:52:13Z,256,25,,,22.6325,0
547,2013-10-08T08:30:00Z,257,40,"[116.408173,39.79324]",0.0,26.402500000000003,0
548,2013-10-08T08:30:36Z,257,40,"[116.411362,39.793404]",0.2730877844252742,11.56,0
549,2013-10-08T08:31:12Z,257,40,"[116.414215,39.793545]",0.5174177311421868,21.9625,0
550,2013-10-08T08:31:36Z,257,40,"[116.416885,39.793655]",0.7458767777645318,20.015,0
551,2013-10-08T08:32:24Z,257,40,"[116.419693,39.793449]",0.9953698060808646,33.14,0
552,2013-10-08T08:33:17Z,257,40,"[116.420586,39.78878]",1.5202557083373591,25.2225,0
