geo_id,type,coordinates,highway
25248785,Point,"[116.3894407, 39.9062721]",1
25248786,Point,"[116.3930703, 39.906394]",1
25248787,Point,"[116.3970962, 39.9065222]",1
25248790,Point,"[116.3898158, 39.8987502]",1
25248791,Point,"[116.3934609, 39.8988716]",1
25585055,Point,"[116.3855782, 39.9019869]",0
25585082,Point,"[116.3855622, 39.8989751]",1
25585083,Point,"[116.3867923, 39.8990026]",0
25585092,Point,"[116.3818619, 39.8988605]",0
25585093,Point,"[116.3779918, 39.8987474]",1
25585099,Point,"[116.3766593, 39.9058516]",1
25585116,Point,"[116.3778503, 39.9005436]",0
25585122,Point,"[116.3777633, 39.9029395]",0
25585141,Point,"[116.3817558, 39.900629]",0
26535390,Point,"[116.4004073, 39.9066074]",1
26535594,Point,"[116.4117218, 39.9069468]",1
26535595,Point,"[116.4052788, 39.9067581]",1
26535596,Point,"[116.4118329, 39.9048304]",1
27484724,Point,"[116.3192982, 39.9096927]",0
27484727,Point,"[116.3285234, 39.9098111]",0
27484729,Point,"[116.3471527, 39.9638588]",0
27484730,Point,"[116.3473067, 39.9671179]",0
27484736,Point,"[116.3638695, 39.966728]",1
27484993,Point,"[116.315387, 39.9062149]",1
27484994,Point,"[116.3150712, 39.9062164]",1
27484999,Point,"[116.3107059, 39.9062558]",1
27485058,Point,"[116.3227946, 39.9096329]",0
27486094,Point,"[116.3639092, 39.9662639]",1
27547590,Point,"[116.3285085, 39.9169027]",1
27547596,Point,"[116.3388295, 39.9170486]",1
27547600,Point,"[116.3471769, 39.9170618]",1
27547614,Point,"[116.3499229, 39.9277429]",2
27547627,Point,"[116.3493741, 39.9402687]",0
27547644,Point,"[116.3501458, 39.9476852]",0
27547648,Point,"[116.3490214, 39.9542929]",0
27547653,Point,"[116.3488127, 39.9599117]",0
30993511,Point,"[116.4102914, 39.993712]",0
30993514,Point,"[116.3945787, 39.9933535]",1
30993516,Point,"[116.397173, 39.9920935]",0
30993521,Point,"[116.3991379, 39.9908431]",0
30993536,Point,"[116.394698, 39.9885124]",1
30993546,Point,"[116.3971886, 39.9932535]",0
30993549,Point,"[116.3972082, 39.9886984]",0
30993612,Point,"[116.4040694, 39.9870136]",0
30993615,Point,"[116.4289147, 39.9877395]",2
30993622,Point,"[116.4416847, 39.9840231]",0
30993628,Point,"[116.4581358, 39.9732944]",2
30993641,Point,"[116.4832531, 39.9534269]",0
30993642,Point,"[116.4836719, 39.9516501]",0
30993647,Point,"[116.4839581, 39.940583]",0
30993789,Point,"[116.2686859, 39.919551]",0
30993790,Point,"[116.2682644, 39.9206764]",0
31017966,Point,"[116.4053914, 39.9476591]",0
31017991,Point,"[116.4053672, 39.9477768]",0
31018090,Point,"[116.4262973, 39.9476782]",0
31018236,Point,"[116.4206977, 39.9071039]",1
31018238,Point,"[116.434823, 39.9072277]",1
31018239,Point,"[116.4441203, 39.9071643]",1
31194136,Point,"[116.4005425, 39.9116148]",1
31194139,Point,"[116.4047536, 39.9171376]",1
31194141,Point,"[116.3955127, 39.9137358]",0
31194142,Point,"[116.3967258, 39.913772]",1
31194143,Point,"[116.4004361, 39.9138882]",1
31194144,Point,"[116.4116106, 39.9141866]",1
31194145,Point,"[116.4203698, 39.9141931]",1
31194147,Point,"[116.4113816, 39.9173925]",1
31194226,Point,"[116.4478707, 39.955964]",0
31194234,Point,"[116.4487223, 39.9560376]",2
31194236,Point,"[116.4487511, 39.9567641]",0
31194237,Point,"[116.4501915, 39.9580911]",0
31194315,Point,"[116.4511862, 39.9591635]",0
31194316,Point,"[116.4473024, 39.9556562]",0
31194319,Point,"[116.44782, 39.9566013]",0
31194322,Point,"[116.4467396, 39.9557935]",0
31194330,Point,"[116.4466766, 39.9573286]",0
31194414,Point,"[116.4468006, 39.9574926]",2
31194415,Point,"[116.4475454, 39.9569986]",0
31194416,Point,"[116.448104, 39.9566269]",2
31194417,Point,"[116.4488182, 39.956176]",0
31194550,Point,"[116.4507311, 39.9551084]",0
31201008,Point,"[116.4134008, 39.9212191]",0
31201265,Point,"[116.4205538, 39.910715]",1
31201268,Point,"[116.4204506, 39.912862]",0
31201272,Point,"[116.4201576, 39.9177719]",1
31201275,Point,"[116.4200322, 39.9205644]",1
31204690,Point,"[116.3882619, 39.9812361]",0
31204696,Point,"[116.391715, 39.9809118]",0
31204703,Point,"[116.394445, 39.981022]",0
31204709,Point,"[116.4011781, 39.9816984]",1
31204711,Point,"[116.4039799, 39.981761]",0
31204819,Point,"[116.3995911, 39.9830139]",0
31204892,Point,"[116.3939967, 39.9814223]",0
