id,traj_id,time,entity_id,holidays,from,to,speed_src,speed_dst,holidays_dst
126,9,2013-10-08T22:30:00Z,254,0,"[116.490013, 39.892902]","[116.511292, 39.904655]",37.2925,24.65,0.0
147,11,2013-10-08T23:00:00Z,254,0,"[116.450546, 39.943771]","[116.440742, 40.018944]",36.0575,49.89999999999999,0.0
171,13,2013-10-08T17:15:00Z,255,0,"[116.335503, 39.763187]","[116.34182, 39.771339]",26.625,64.5,0.0
207,16,2013-10-08T19:00:00Z,255,0,"[116.479919, 39.801834]","[116.493935, 39.789604]",22.76,14.07,0.0
337,24,2013-10-08T08:00:00Z,256,0,"[116.229218, 39.900791]","[116.314941, 39.897045]",26.285,31.0475,0.0
355,25,2013-10-08T08:30:00Z,256,0,"[116.324127, 39.897049]","[116.410393, 39.899246]",21.6075,30.285,0.0
547,40,2013-10-08T08:30:00Z,257,0,"[116.408173, 39.79324]","[116.470497, 39.911777]",26.402500000000003,29.395,0.0
1040,53,2013-10-08T18:30:00Z,257,0,"[116.360901, 39.878113]","[116.284477, 39.957474]",23.43,19.965,0.0
1103,55,2013-10-08T19:45:00Z,257,0,"[116.268333, 39.883675]","[116.266289, 39.856838]",18.4225,24.9025,0.0
1191,60,2013-10-08T06:15:00Z,258,0,"[116.467606, 39.876831]","[116.378616, 39.859783]",26.6325,19.155,0.0
1439,67,2013-10-08T06:00:00Z,4118,0,"[116.351501, 39.939926]","[116.541328, 40.024174]",45.81999999999999,86.58000000000001,0.0
1656,77,2013-10-08T13:45:00Z,4118,0,"[116.369614, 39.985012]","[116.332123, 39.992634]",27.590000000000003,18.8675,0.0
1707,82,2013-10-08T09:30:00Z,4120,0,"[116.437233, 39.98579]","[116.461655, 39.950142]",18.200000000000003,32.665,0.0
1740,86,2013-10-08T18:30:00Z,4120,0,"[116.386902, 39.854935]","[116.347527, 39.850155]",22.555,49.9025,0.0
1776,89,2013-10-08T08:30:00Z,4121,0,"[116.325829, 39.897053]","[116.356834, 39.916866]",21.6075,39.5325,0.0
1909,97,2013-10-08T12:00:00Z,4122,0,"[116.316399, 39.978687]","[116.313873, 40.024509]",37.6575,38.73,0.0
2063,105,2013-10-08T00:00:00Z,4123,0,"[116.461601, 39.940952]","[116.417839, 40.024811]",50.3525,47.7425,0.0
2252,112,2013-10-08T12:45:00Z,4123,0,"[116.200317, 39.944359]","[116.200386, 39.927677]",17.895,36.0175,0.0
2412,117,2013-10-08T16:00:00Z,4123,0,"[116.267342, 39.850098]","[116.319969, 39.896984]",29.735,34.415,0.0
2619,125,2013-10-08T23:00:00Z,4123,0,"[116.416809, 39.943233]","[116.395378, 39.955612]",21.5125,54.72,0.0
2630,126,2013-10-08T23:00:00Z,4123,0,"[116.393478, 39.949192]","[116.268219, 39.90752]",55.9575,46.2875,0.0
2990,136,2013-10-08T16:15:00Z,4124,0,"[116.354355, 39.937729]","[116.346481, 39.957378]",32.045,15.7175,0.0
3024,138,2013-10-08T19:00:00Z,4124,0,"[116.438904, 39.959709]","[116.387665, 39.983196]",17.8475,16.8675,0.0
3127,141,2013-10-08T21:00:00Z,4124,0,"[116.472702, 39.908451]","[116.370148, 39.865528]",44.5775,18.2475,0.0
3244,145,2013-10-08T08:00:00Z,4125,0,"[116.425163, 40.002159]","[116.523468, 40.01783]",9.265,38.5225,0.0
3322,148,2013-10-08T10:00:00Z,4125,0,"[116.411774, 39.933418]","[116.373375, 39.911861]",32.69,38.1675,0.0
3460,152,2013-10-08T16:15:00Z,4125,0,"[116.42009, 39.949429]","[116.419937, 39.959255]",50.285,32.0475,0.0
3468,153,2013-10-08T16:30:00Z,4125,0,"[116.430466, 39.924332]","[116.459526, 39.87125]",23.82,18.33,0.0
3512,155,2013-10-08T09:00:00Z,4126,0,"[116.464394, 39.950233]","[116.478432, 39.971203]",19.26,32.84,0.0
3584,159,2013-10-08T13:00:00Z,4126,0,"[116.386604, 39.962914]","[116.350639, 39.944126]",22.23,13.3,0.0
3612,161,2013-10-08T13:45:00Z,4126,0,"[116.394028, 39.945255]","[116.459404, 39.954185]",32.375,39.795,0.0
3622,162,2013-10-08T14:00:00Z,4126,0,"[116.462898, 39.957199]","[116.378983, 39.968269]",30.3125,50.86,0.0
3634,163,2013-10-08T14:30:00Z,4126,0,"[116.370537, 39.96191]","[116.355591, 39.952381]",46.4075,43.135,0.0
3656,165,2013-10-08T16:00:00Z,4126,0,"[116.401199, 39.968513]","[116.450661, 39.963341]",49.51,32.5225,0.0
3663,166,2013-10-08T06:30:00Z,4127,0,"[116.19899, 39.947796]","[116.379066, 39.866085]",22.86,26.4,0.0
3897,174,2013-10-08T11:15:00Z,4127,0,"[116.352585, 39.909069]","[116.357002, 39.974949]",31.8275,17.0125,0.0
4103,186,2013-10-08T14:45:00Z,4129,0,"[116.286186, 39.828526]","[116.428528, 39.848289]",18.645,18.43,0.0
4126,187,2013-10-08T15:15:00Z,4129,0,"[116.428612, 39.854511]","[116.420914, 39.882622]",17.4,20.707500000000003,0.0
4141,189,2013-10-08T17:00:00Z,4129,0,"[116.418274, 39.897247]","[116.401794, 39.865501]",22.615,11.88,0.0
4154,190,2013-10-08T17:30:00Z,4129,0,"[116.399193, 39.881485]","[116.399559, 39.891693]",19.2125,38.712500000000006,0.0
4162,191,2013-10-08T17:45:00Z,4129,0,"[116.374535, 39.893444]","[116.411476, 39.900959]",34.485,20.4175,0.0
4174,192,2013-10-08T18:15:00Z,4129,0,"[116.420616, 39.884583]","[116.310402, 39.931355]",24.015,27.415,0.0
4197,193,2013-10-08T19:00:00Z,4129,0,"[116.350319, 39.928406]","[116.326385, 39.927998]",18.1475,18.9625,0.0
4209,195,2013-10-08T19:45:00Z,4129,0,"[116.358215, 39.952072]","[116.371826, 39.999496]",16.107499999999998,21.01,0.0
4234,197,2013-10-08T20:30:00Z,4129,0,"[116.417244, 39.929962]","[116.418327, 39.902512]",28.41,21.4575,0.0
4263,201,2013-10-08T21:45:00Z,4129,0,"[116.481697, 39.908001]","[116.497803, 39.911091]",53.8275,23.125,0.0
4268,202,2013-10-08T22:45:00Z,4129,0,"[116.421715, 39.86385]","[116.400566, 39.842472]",36.32,35.85,0.0
4275,203,2013-10-08T23:15:00Z,4129,0,"[116.370667, 39.835686]","[116.286774, 39.792866]",18.155,42.9725,0.0
4293,204,2013-10-08T08:15:00Z,4130,0,"[116.327332, 40.021809]","[116.45739, 40.017647]",60.89,58.6425,0.0
4321,206,2013-10-08T10:00:00Z,4131,0,"[116.25444, 39.889576]","[116.306351, 39.896976]",18.3075,53.525,0.0
4334,207,2013-10-08T10:00:00Z,4131,0,"[116.372719, 39.899635]","[116.39431, 39.900311]",24.1925,29.0325,0.0
4425,213,2013-10-08T12:30:00Z,4131,0,"[116.309914, 39.910034]","[116.325432, 39.899563]",25.68,10.99,0.0
4474,215,2013-10-08T13:45:00Z,4131,0,"[116.279526, 39.961441]","[116.419144, 39.897251]",32.129999999999995,24.3525,0.0
4745,226,2013-10-08T19:45:00Z,4131,0,"[116.404602, 39.862144]","[116.420036, 39.84597]",18.055,22.0275,0.0
5078,234,2013-10-08T05:30:00Z,4132,0,"[116.33535, 39.955009]","[116.440254, 39.924191]",46.205,31.7525,0.0
5125,235,2013-10-08T06:15:00Z,4132,0,"[116.469589, 39.921463]","[116.511292, 40.009129]",37.72,80.6825,0.0
5157,236,2013-10-08T06:30:00Z,4132,0,"[116.513145, 40.010815]","[116.543999, 40.025146]",74.9125,82.70500000000001,0.0
5170,238,2013-10-08T10:45:00Z,4132,0,"[116.461494, 39.942272]","[116.460556, 39.908199]",39.78,39.7225,0.0
5625,258,2013-10-08T07:30:00Z,4134,0,"[116.387962, 39.876194]","[116.543175, 40.024788]",20.26,54.495,0.0
5936,269,2013-10-08T15:00:00Z,4134,0,"[116.472534, 39.904903]","[116.496582, 39.900829]",61.4625,21.4575,0.0
5982,271,2013-10-08T16:15:00Z,4134,0,"[116.462334, 39.905334]","[116.382599, 39.865234]",31.9575,33.167500000000004,0.0
6129,276,2013-10-08T00:30:00Z,4135,0,"[116.414246, 39.949295]","[116.369408, 39.948097]",51.9125,62.905,0.0
6384,281,2013-10-08T09:15:00Z,4135,0,"[116.372955, 39.933949]","[116.373543, 39.920513]",26.3975,22.965,0.0
6390,282,2013-10-08T09:30:00Z,4135,0,"[116.373581, 39.919304]","[116.379166, 39.898388]",21.4475,17.0375,0.0
6729,294,2013-10-08T20:15:00Z,4135,0,"[116.53318, 40.021351]","[116.413567, 39.993248]",67.28,14.9,0.0
6963,301,2013-10-08T07:30:00Z,4137,0,"[116.413658, 39.995174]","[116.437263, 39.992725]",26.77,17.84,0.0
6971,302,2013-10-08T07:45:00Z,4137,0,"[116.421051, 39.993938]","[116.40686, 39.995018]",22.4375,19.145,0.0
7290,314,2013-10-08T12:30:00Z,4170,0,"[116.36982, 39.976223]","[116.371284, 39.953735]",17.58,37.04,0.0
7684,336,2013-10-08T19:15:00Z,4270,0,"[116.351448, 40.024452]","[116.352158, 40.007809]",36.712500000000006,16.9325,0.0
7699,338,2013-10-08T20:45:00Z,4270,0,"[116.328255, 40.021458]","[116.356277, 40.023964]",54.41,16.28,0.0
7753,340,2013-10-08T13:15:00Z,4271,0,"[116.542542, 40.024624]","[116.395493, 39.963379]",78.0375,14.510000000000002,0.0
7803,342,2013-10-08T14:15:00Z,4271,0,"[116.446434, 39.962479]","[116.349579, 39.936935]",35.7075,24.3175,0.0
8039,352,2013-10-08T20:45:00Z,4271,0,"[116.417946, 39.916866]","[116.417076, 39.940849]",17.9175,13.5775,0.0
8152,358,2013-10-08T09:00:00Z,4272,0,"[116.295387, 39.941509]","[116.416641, 39.9021]",55.9725,26.5625,0.0
8199,362,2013-10-08T15:00:00Z,4272,0,"[116.295975, 39.947422]","[116.330841, 39.923115]",47.71,36.5275,0.0
8221,364,2013-10-08T07:00:00Z,4273,0,"[116.374329, 40.021408]","[116.380409, 39.980034]",60.89500000000001,62.5475,0.0
8239,365,2013-10-08T07:15:00Z,4273,0,"[116.380882, 39.974133]","[116.355278, 39.941463]",44.0475,43.9925,0.0
8417,374,2013-10-08T02:00:00Z,4276,0,"[116.352654, 39.902878]","[116.36348, 39.89056]",32.6075,44.4775,0.0
8749,384,2013-10-08T10:30:00Z,4276,0,"[116.198105, 39.910793]","[116.341682, 39.923084]",11.75,25.1325,0.0
8809,386,2013-10-08T12:00:00Z,4276,0,"[116.349472, 39.930275]","[116.286278, 40.009693]",33.625,45.31,0.0
8882,389,2013-10-08T19:30:00Z,4276,0,"[116.422279, 39.857273]","[116.448692, 39.853928]",40.8075,11.105,0.0
8939,391,2013-10-08T23:00:00Z,4276,0,"[116.359818, 39.912975]","[116.416794, 39.910542]",21.355,23.845,0.0
8966,392,2013-10-08T23:30:00Z,4276,0,"[116.414482, 39.910675]","[116.326668, 39.844288]",21.55,24.9325,0.0
9232,404,2013-10-08T06:45:00Z,4278,0,"[116.503311, 39.97773]","[116.445328, 39.949974]",30.9875,62.2025,0.0
9274,406,2013-10-08T07:30:00Z,4278,0,"[116.42511, 39.960514]","[116.407471, 39.994011]",18.395,33.4575,0.0
9449,412,2013-10-08T19:15:00Z,4278,0,"[116.472717, 39.948925]","[116.407135, 40.002712]",16.442500000000003,18.5925,0.0
9624,417,2013-10-08T23:45:00Z,4278,0,"[116.443817, 39.920654]","[116.461136, 39.919277]",23.5175,48.432500000000005,0.0
9701,419,2013-10-08T08:30:00Z,4279,0,"[116.361237, 39.962444]","[116.416397, 39.969082]",15.3725,28.92,0.0
9936,436,2013-10-08T07:00:00Z,4280,0,"[116.547768, 39.965778]","[116.530746, 39.91703]",15.9775,13.4525,0.0
10027,441,2013-10-08T09:45:00Z,4280,0,"[116.305901, 39.980801]","[116.314201, 40.020992]",22.0075,18.795,0.0
10037,442,2013-10-08T10:45:00Z,4280,0,"[116.366783, 40.005482]","[116.355293, 40.008064]",49.67,54.78,0.0
10081,446,2013-10-08T13:30:00Z,4280,0,"[116.507057, 39.796577]","[116.492165, 39.815067]",30.83,35.665,0.0
10338,458,2013-10-08T07:15:00Z,4347,0,"[116.332764, 39.772587]","[116.303009, 39.841351]",29.0425,21.74,0.0
10542,475,2013-10-08T07:45:00Z,4348,0,"[116.280846, 39.886639]","[116.37925, 39.866161]",44.975,25.705,0.0
10674,481,2013-10-08T10:15:00Z,4348,0,"[116.3573, 39.932262]","[116.411827, 39.918583]",35.1675,24.075,0.0
10812,488,2013-10-08T18:00:00Z,4348,0,"[116.226585, 39.907337]","[116.198799, 39.913048]",21.7375,28.1525,0.0
