id,coordinates,highway,length,lanes,tunnel,bridge,maxspeed,width,alley,roundabout
1,"[[116.3894407, 39.9062721], [116.386428, 39.9061687], [116.3856338, 39.9061421]]",4,325.04,5,0,0,0,0,0,0
2,"[[116.3930703, 39.906394], [116.3894407, 39.9062721]]",4,309.891,5,0,0,0,0,0,0
3,"[[116.3970962, 39.9065222], [116.3930703, 39.906394]]",4,343.693,5,0,0,0,0,0,0
39,"[[116.4004073, 39.9066074], [116.4000257, 39.9065976], [116.3970962, 39.9065222]]",4,282.585,5,0,0,0,0,0,0
108,"[[116.4040694, 39.9870136], [116.4060821, 39.987074]]",12,171.607,4,0,0,0,0,0,0
110,"[[116.4289147, 39.9877395], [116.4295304, 39.9877472]]",12,52.462,4,0,0,0,0,0,0
111,"[[116.4416847, 39.9840231], [116.4421056, 39.983775], [116.4425205, 39.9835043]]",12,91.674,4,0,0,0,0,0,0
113,"[[116.4581358, 39.9732944], [116.4582888, 39.9731871]]",12,17.673,4,0,0,0,0,0,0
115,"[[116.4832531, 39.9534269], [116.4827188, 39.9547533], [116.4823919, 39.955379], [116.4820733, 39.955959], [116.4816366, 39.956622], [116.4813134, 39.9570747], [116.4804559, 39.9581211], [116.4803052, 39.9582868], [116.4794407, 39.9591285], [116.4784543, 39.9599357], [116.477566, 39.9606584], [116.4768056, 39.9612205]]",12,1041.661,4,0,1,80,0,0,0
116,"[[116.4836719, 39.9516501], [116.483532, 39.9524394], [116.4832531, 39.9534269]]",12,200.922,4,0,0,80,0,0,0
117,"[[116.4839581, 39.940583], [116.4839496, 39.9436808], [116.4839489, 39.9439169], [116.4839535, 39.9460738]]",12,610.551,4,0,1,80,0,0,0
119,"[[116.2686859, 39.919551], [116.2687859, 39.9191434], [116.2688014, 39.918726], [116.2687975, 39.9186211]]",8,104.219,2,0,1,0,0,0,0
121,"[[116.2682644, 39.9206764], [116.2686859, 39.919551]]",8,130.199,2,0,0,0,0,0,0
122,"[[116.4053914, 39.9476591], [116.4065022, 39.947717]]",12,94.909,3,0,0,0,0,0,0
124,"[[116.4053672, 39.9477768], [116.4020434, 39.9477159], [116.3993123, 39.9477091], [116.3980371, 39.9477018]]",12,624.943,3,0,1,0,0,0,0
125,"[[116.4262973, 39.9476782], [116.4267835, 39.9473076], [116.4270524, 39.9469499], [116.4271779, 39.9467585]]",12,128.173,3,0,0,0,0,0,0
129,"[[116.434823, 39.9072277], [116.43483, 39.9073186]]",10,10.125,2,0,0,0,0,0,0
158,"[[116.4478707, 39.955964], [116.4483214, 39.9563736], [116.4487511, 39.9567641]]",2,116.388,3,0,0,0,0,0,0
161,"[[116.4487511, 39.9567641], [116.4501915, 39.9580911]]",2,191.951,3,0,0,0,0,0,0
163,"[[116.4501915, 39.9580911], [116.4607431, 39.9675538], [116.4612344, 39.9680097], [116.4628542, 39.9694099]]",2,1657.963,3,0,1,0,0,0,0
165,"[[116.4511862, 39.9591635], [116.4481884, 39.9564613], [116.4473024, 39.9556562]]",2,511.544,3,0,0,0,0,0,0
166,"[[116.4473024, 39.9556562], [116.4436855, 39.9523694]]",2,478.142,3,0,0,0,0,0,0
225,"[[116.375946, 39.9475266], [116.3733022, 39.9475194], [116.3713536, 39.9475139], [116.370435, 39.94749], [116.3697089, 39.9474796]]",12,531.745,3,0,0,0,0,0,0
226,"[[116.3980371, 39.9477018], [116.3944993, 39.9476649]]",12,301.61,3,0,1,0,0,0,0
228,"[[116.429338, 39.9096974], [116.4293901, 39.9093524], [116.4294654, 39.9083223]]",12,153.341,3,0,0,0,0,0,0
294,"[[116.3733343, 39.9600558], [116.3730634, 39.9573558], [116.3730496, 39.9565989], [116.3730476, 39.9559959], [116.3731542, 39.951047], [116.3731629, 39.9506561]]",2,1046.176,3,0,1,0,0,0,0
296,"[[116.3660573, 39.9859732], [116.3666359, 39.9859803]]",12,49.302,4,0,0,80,0,0,0
322,"[[116.4731405, 39.9706832], [116.4732225, 39.9706401]]",10,8.473,2,0,0,0,0,0,0
323,"[[116.4731405, 39.9706832], [116.471145, 39.9688444], [116.4706673, 39.9684042], [116.470607, 39.9683487], [116.470139, 39.9679444], [116.468777, 39.9667626]]",8,573.065,2,0,1,0,0,0,0
324,"[[116.4731405, 39.9706832], [116.4730891, 39.970716], [116.4719569, 39.9714581], [116.4705674, 39.9723677]]",10,288.381,2,0,0,0,0,0,0
326,"[[116.4753841, 39.9766775], [116.474692, 39.9771386]]",10,78.145,2,0,0,0,0,0,0
327,"[[116.4753841, 39.9766775], [116.4746971, 39.9760628], [116.473655, 39.9751304]]",0,226.501,2,0,0,0,0,0,0
328,"[[116.4753841, 39.9766775], [116.4763869, 39.9760335], [116.4778715, 39.97508], [116.4779186, 39.9750498]]",10,281.779,2,0,0,0,0,0,0
381,"[[116.4597808, 39.9586053], [116.4563229, 39.9554887], [116.4562417, 39.9554121]]",8,465.907,2,0,0,0,0,0,0
391,"[[116.4958798, 39.9347876], [116.4960018, 39.9348238]]",4,11.154,3,0,0,0,0,0,0
393,"[[116.489314, 39.9329221], [116.4893947, 39.932945]]",4,7.337,3,0,0,0,0,0,0
460,"[[116.4837142, 39.9395822], [116.4837557, 39.9335498], [116.4837478, 39.9333174], [116.48375, 39.9329136], [116.4837527, 39.9319697], [116.4837477, 39.9315773], [116.4837465, 39.9314823], [116.483745, 39.9313577], [116.4837242, 39.9297131]]",12,1097.426,4,0,1,0,0,0,0
461,"[[116.4752049, 39.9623004], [116.472582, 39.9640265]]",12,294.633,4,0,0,0,0,0,0
463,"[[116.483027, 39.9534262], [116.4832952, 39.9524419], [116.4834926, 39.9514892], [116.4836159, 39.9505933], [116.4836903, 39.9495457], [116.4837153, 39.9491334]]",12,481.803,4,0,0,0,0,0,0
465,"[[116.4688425, 39.9750774], [116.4610992, 39.9680827], [116.4605652, 39.9676093], [116.4511862, 39.9591635]]",2,2322.804,3,0,1,0,0,0,0
466,"[[116.4836822, 39.9112532], [116.4836253, 39.9090118], [116.48362, 39.9088023]]",12,272.58,4,0,1,0,0,0,0
468,"[[116.48362, 39.9088023], [116.4835523, 39.9071492], [116.4835382, 39.9065756], [116.483591, 39.9049881]]",12,424.28,4,0,0,0,0,0,0
471,"[[116.4836252, 39.887173], [116.4836159, 39.8864946]]",12,75.439,4,0,0,0,0,0,0
472,"[[116.483633, 39.882798], [116.4836312, 39.8820466], [116.4836301, 39.8816017], [116.4836295, 39.8813616]]",12,159.721,4,0,0,0,0,0,0
473,"[[116.48362, 39.8776873], [116.4835768, 39.8765735], [116.4835214, 39.8756597], [116.4834256, 39.874804], [116.4832046, 39.8731715]]",12,503.627,4,0,0,0,0,0,0
475,"[[116.4812927, 39.8613807], [116.4803328, 39.8554411]]",12,665.517,4,0,0,0,0,0,0
476,"[[116.4803328, 39.8554411], [116.4802165, 39.8547169], [116.4800707, 39.8538096], [116.4796188, 39.8509959]]",12,498.028,4,0,1,0,0,0,0
478,"[[116.4796188, 39.8509959], [116.4793024, 39.849339], [116.4791517, 39.8487252], [116.4788133, 39.8476597], [116.4784704, 39.8468615], [116.4780433, 39.8460932], [116.4775095, 39.8453233], [116.4764759, 39.8441405], [116.4763178, 39.8439902]]",12,840.804,4,0,1,0,0,0,0
480,"[[116.4763178, 39.8439902], [116.475923, 39.8436213], [116.475134, 39.8429661], [116.4744022, 39.8424054], [116.4737534, 39.8419489], [116.4730243, 39.8414721]]",12,397.481,4,0,0,0,0,0,0
481,"[[116.4622121, 39.8344898], [116.4613776, 39.8340147], [116.4604137, 39.8335569], [116.4595665, 39.8332473], [116.4587501, 39.8329751], [116.4577753, 39.8327158], [116.4567484, 39.8325259]]",12,519.871,4,0,0,0,0,0,0
483,"[[116.4567484, 39.8325259], [116.453127, 39.8320399], [116.4525293, 39.8319798], [116.4499975, 39.8316928]]",12,583.921,4,0,1,0,0,0,0
484,"[[116.3229152, 39.8293845], [116.3193915, 39.8293852], [116.3189582, 39.8293838], [116.3161635, 39.8293749]]",12,576.549,4,0,0,0,0,0,0
485,"[[116.2945688, 39.8293786], [116.2879834, 39.8294138]]",12,562.36,4,0,0,0,0,0,0
486,"[[116.2825624, 39.8316871], [116.2823323, 39.8319837]]",12,38.39,4,0,0,0,0,0,0
488,"[[116.2823323, 39.8319837], [116.2820446, 39.832395], [116.2817835, 39.8329042], [116.2815692, 39.8334392], [116.2814395, 39.8339064], [116.2809838, 39.8361164], [116.2803832, 39.83871], [116.2801249, 39.8398733], [116.2799583, 39.8403421], [116.2797908, 39.8407052], [116.2794884, 39.8412135], [116.2789721, 39.8418969]]",12,1147.922,4,0,1,0,0,0,0
489,"[[116.2758611, 39.8676472], [116.2733285, 39.8715283], [116.2727977, 39.8725771], [116.2723656, 39.8736948], [116.2720621, 39.874502], [116.2707346, 39.8781873]]",12,1255.983,4,0,1,0,0,0,0
491,"[[116.2693764, 39.8817587], [116.2686986, 39.8837546]]",12,229.346,4,0,0,0,0,0,0
493,"[[116.2686986, 39.8837546], [116.2685007, 39.8845118], [116.2682332, 39.8860299], [116.2681692, 39.8868702], [116.2681316, 39.8875236], [116.2681103, 39.8879813], [116.2681243, 39.8901997]]",12,720.141,4,0,0,0,0,0,0
494,"[[116.2681243, 39.8901997], [116.2681429, 39.8929764]]",12,308.759,4,0,0,0,0,0,0
496,"[[116.2683467, 39.941276], [116.2686018, 39.944176], [116.2689529, 39.9468613], [116.2693968, 39.9497238]]",12,943.824,4,0,1,0,0,0,0
497,"[[116.2693968, 39.9497238], [116.269697, 39.9514411]]",12,192.662,4,0,0,0,0,0,0
498,"[[116.2692258, 39.9677658], [116.2694853, 39.968148], [116.2700466, 39.9688677], [116.2703209, 39.9691405], [116.2711235, 39.9697743], [116.2721666, 39.9703457], [116.2747964, 39.9715773], [116.2762577, 39.9722838], [116.2772534, 39.9727778], [116.2785995, 39.9735585], [116.2801944, 39.974636], [116.2810536, 39.9753369], [116.281837, 39.9760324]]",12,1431.978,4,0,1,0,0,0,0
499,"[[116.2936802, 39.9835573], [116.2948352, 39.9836161], [116.2949664, 39.9836222], [116.2973189, 39.9837309]]",12,310.622,4,0,1,0,0,0,0
507,"[[116.2681673, 39.9097471], [116.2683188, 39.9120608], [116.2685457, 39.9134856]]",12,417.204,4,0,0,0,0,0,0
509,"[[116.269154, 39.9295989], [116.2688978, 39.9316123], [116.2688561, 39.9319692], [116.2687286, 39.9329377], [116.2686603, 39.9335213], [116.2684604, 39.9352292], [116.2684343, 39.935451], [116.2683745, 39.9359617], [116.2683048, 39.937503]]",12,882.121,4,0,0,0,0,0,0
510,"[[116.2683048, 39.937503], [116.2683467, 39.941276]]",12,419.554,4,0,0,0,0,0,0
515,"[[116.4302365, 39.9679973], [116.4295913, 39.9681313], [116.4289985, 39.9682229], [116.428415, 39.9682601], [116.4276597, 39.968246], [116.4269445, 39.9682249], [116.425953, 39.9681997], [116.4249903, 39.9681741], [116.4223287, 39.9681032]]",12,677.372,3,0,1,0,0,0,0
553,"[[116.4779186, 39.9750498], [116.4762105, 39.9734629]]",8,228.739,2,0,0,0,0,0,0
554,"[[116.4779186, 39.9750498], [116.4780283, 39.974983]]",10,11.94,2,0,0,0,0,0,0
555,"[[116.4779186, 39.9750498], [116.4778715, 39.97508], [116.4763869, 39.9760335], [116.4753841, 39.9766775]]",10,281.779,2,0,0,0,0,0,0
557,"[[116.4344506, 39.9827327], [116.4356605, 39.9846119], [116.4358534, 39.9848975], [116.4364959, 39.9858826], [116.4368673, 39.9864088], [116.437463, 39.9873059], [116.4375811, 39.9874783], [116.4392205, 39.9899909]]",2,903.659,3,0,1,120,0,0,0
559,"[[116.4837153, 39.9491334], [116.483717, 39.9439187], [116.4837168, 39.94369], [116.4837142, 39.9395822]]",12,1062.046,4,0,1,0,0,0,0
617,"[[116.4837242, 39.9297131], [116.4837374, 39.9286544], [116.4837292, 39.9270513], [116.4836994, 39.9249504]]",12,529.61,4,0,1,0,0,0,0
624,"[[116.4301085, 39.9012372], [116.4300194, 39.9007459], [116.4299434, 39.9002004]]",12,116.158,3,0,0,0,0,0,0
626,"[[116.4377799, 39.870827], [116.4376258, 39.8705351], [116.4374722, 39.8702907], [116.4373046, 39.8701106], [116.4371174, 39.8699284], [116.4369163, 39.8697847], [116.4368657, 39.8697556], [116.4366816, 39.8696497], [116.4364079, 39.8695189], [116.4361509, 39.8694331], [116.4358157, 39.8693259]]",12,246.509,3,0,0,0,0,0,0
631,"[[116.3460658, 39.8672506], [116.3455522, 39.8671899], [116.3449481, 39.8670587], [116.3443616, 39.8668879], [116.3437884, 39.866821], [116.3432862, 39.8668213]]",12,243.813,3,0,1,0,0,0,0
633,"[[116.4836771, 39.9712808], [116.4836876, 39.9699429]]",8,148.771,3,0,0,0,0,0,0
634,"[[116.4836771, 39.9712808], [116.4838136, 39.9711655]]",10,17.311,2,0,0,0,0,0,0
635,"[[116.4836771, 39.9712808], [116.4830589, 39.9716837], [116.4824221, 39.9720986], [116.4817727, 39.9725218], [116.4810016, 39.9730243]]",10,299.276,2,0,0,0,0,0,0
636,"[[116.4819236, 39.9876974], [116.4820258, 39.9877872]]",12,13.248,2,0,0,0,0,0,0
637,"[[116.4819236, 39.9876974], [116.4821422, 39.9875499]]",8,24.816,3,0,0,0,0,0,0
638,"[[116.4834104, 39.9866942], [116.4834329, 39.9865436]]",8,16.855,3,0,0,0,0,0,0
639,"[[116.4834329, 39.9865436], [116.4834804, 39.9850163]]",8,169.876,3,0,0,0,0,0,0
647,"[[116.4890466, 39.9616538], [116.487445, 39.9626968]]",8,179.117,2,0,0,0,0,0,0
649,"[[116.4890466, 39.9616538], [116.4898479, 39.9611423], [116.4899668, 39.9610664]]",8,102.064,2,0,0,0,0,0,0
650,"[[116.4890466, 39.9616538], [116.4890996, 39.9616928], [116.4893647, 39.9616742], [116.489827, 39.9620821], [116.4901056, 39.9623279], [116.4903047, 39.9625055], [116.4909764, 39.9631051]]",0,239.149,1,0,0,0,0,0,0
